Lp,Numer rejestracyjny,Wnioskodawca,Tytuł projektu,Kwota,Data przyznania,Konkurs,Moduł
37,SONP/SN/469132/2020,Fundacja Zaawansowanych Technologii,Festiwale Naukowe E(x)plory,166676,2020-05-07,SON I konkurs I,Popularyzacja
38,SONP/SP/466856/2020,Gdański Uniwersytet Medyczny,Przyszłość dzięki przeszłości – opowieść o rozwoju medycyny.,737905,2020-05-07,SON I konkurs I,Popularyzacja
39,SONP/SP/461905/2020,Gdański Uniwersytet Medyczny,Nauka to ludzie. Promocja osiągnięć naukowych oraz kariery naukowej na przykładzie pracowników GUMed,655813.76,2020-05-07,SON I konkurs I,Popularyzacja
40,SONP/SP/469461/2020,Instytut Badań Stosowanych Politechniki Warszawskiej,Popularyzacja nauki i osiągnięć Uczelni poprzez promocję wyników badań przez spółki celowe,200000,2020-05-07,SON I konkurs I,Popularyzacja
41,SONP/SP/467362/2020,Instytut Biologii Doświadczalnej im. Marcelego Nenckiego Polskiej Akademii Nauk,Biologia bez tajemnic - najnowsze odkrycia z dziedziny Biologii,46600,2020-05-07,SON I konkurs I,Popularyzacja
42,SONP/SP/462698/2020,Instytut Farmakologii im. Jerzego Maja Polskiej Akademii Nauk,Krakowska Kawiarenka Neurobiologiczna,37639.77,2020-05-07,SON I konkurs I,Popularyzacja
43,SONP/SP/464902/2020,Instytut Farmakologii im. Jerzego Maja Polskiej Akademii Nauk,Statek neurobiologiczny - wiedza o mózgu na falach Wisły pod Wawelem,21111,2020-05-07,SON I konkurs I,Popularyzacja
44,SONP/SP/467045/2020,Instytut Fizyki Jądrowej im. Henryka Niewodniczańskiego Polskiej Akademii Nauk,Fizyka kluczem do zrozumienia świata,310400,2020-05-07,SON I konkurs I,Popularyzacja
45,SONP/SP/467318/2020,Instytut Genetyki Człowieka Polskiej Akademii Nauk,Poznaj fascynujący świat genetyki! - warsztaty dla dzieci przedszkolnych i wczesnoszkolnych,64111,2020-05-07,SON I konkurs I,Popularyzacja
46,SONP/SP/466930/2020,Instytut Historii im. Tadeusza Manteuffla Polskiej Akademii Nauk,Atlas Historyczny Polski 2.0,400000,2020-05-07,SON I konkurs I,Popularyzacja
47,SONP/SP/463445/2020,Instytut Pracy i Spraw Socjalnych,Cykl debat upowszechniających wiedzę z zakresu polityki społecznej – „Między nauką a praktyką”,672539.29,2020-05-07,SON I konkurs I,Popularyzacja
48,SONP/SP/466777/2020,Instytut Pracy i Spraw Socjalnych,Konkurs na najlepsze prace magisterskie i doktorskie w dziedzinie pracy i polityki społecznej,192496.16,2020-05-07,SON I konkurs I,Popularyzacja
49,SONP/SP/461640/2020,Instytut Slawistyki Polskiej Akademii Nauk,Polski Festiwal Nauki w Ukrainie,35332,2020-05-07,SON I konkurs I,Popularyzacja
50,SONP/SP/461733/2020,Instytut Studiów Kobiecych,Wystawa - Kobiety w edukacji i nauce,108000,2020-05-07,SON I konkurs I,Popularyzacja
51,SONP/SP/464951/2020,Katolicki Uniwersytet Lubelski Jana Pawła II,"""Służyć przyszłości człowieka"" - mediateka naukowa",361240,2020-05-07,SON I konkurs I,Popularyzacja
52,SONP/SP/465644/2020,Krajowa Reprezentacja Doktorantów,BE HEALTHY - PhD,48800,2020-05-07,SON I konkurs I,Popularyzacja
53,SONP/SN/461320/2020,Krajowy Fundusz na rzecz Dzieci,Program pomocy wybitnie zdolnym,742645,2020-05-07,SON I konkurs I,Popularyzacja
54,SONP/SN/463360/2020,Kujawska Szkoła Wyższa we Włocławku,"IX Festiwal Nauki, Kultury i Przedsiębiorczości",42614,2020-05-07,SON I konkurs I,Popularyzacja
55,SONP/SN/463461/2020,Łomżyńskie Forum Samorządowe,SamoRządowe Przygody z Nauką.,995000,2020-05-07,SON I konkurs I,Popularyzacja
56,SONP/SN/464835/2020,Łódzkie Towarzystwo Naukowe,"XX Festiwal Nauki, Techniki i Sztuki w Łodzi",128955,2020-05-07,SON I konkurs I,Popularyzacja
57,SONP/SP/469157/2020,Miejski Klub Sportowy Tarnovia,Naukowiec równa się sportowiec! Popularyzacja sportu akademickiego kobiet,466437.6,2020-05-07,SON I konkurs I,Popularyzacja
58,SONP/SP/463655/2020,Państwowa Wyższa Szkoła Informatyki i Przedsiębiorczości w Łomży,MOJA PASJA - MOJA PRZYSZŁOŚĆ,56800,2020-05-07,SON I konkurs I,Popularyzacja
59,SONP/SN/462630/2020,Podlaski Uniwersytet Trzeciego Wieku,Akademia Zdrowego Seniora,896750,2020-05-07,SON I konkurs I,Popularyzacja
60,SONP/SP/466858/2020,Politechnika Gdańska,Pomorska Liga Akademicka 3x3,94000,2020-05-07,SON I konkurs I,Popularyzacja
61,SONP/SP/464247/2020,Politechnika Gdańska,Bałtycki Festiwal Nauki na Politechnice Gdańskiej,25277,2020-05-07,SON I konkurs I,Popularyzacja
62,SONP/SP/461562/2020,Politechnika Koszalińska,XX Zachodniopomorski Festiwal Nauki w Politechnice Koszalińskiej,71588,2020-05-07,SON I konkurs I,Popularyzacja
63,SONP/SP/461252/2020,Politechnika Krakowska im. Tadeusza Kościuszki,Baza danych o zawartości polskich czasopism technicznych BazTech - kontynuacja,853800,2020-05-07,SON I konkurs I,Popularyzacja
64,SONP/SP/461251/2020,Politechnika Śląska,Noc Naukowców Politechniki Śląskiej 2020,65000,2020-05-07,SON I konkurs I,Popularyzacja
65,SONP/SP/466997/2020,Politechnika Śląska,Współorganizacja X Europejskiego Kongresu Małych i Średnich Przedsiębiorstw,129000,2020-05-07,SON I konkurs I,Popularyzacja
66,SONP/SP/467560/2020,Politechnika Śląska,"Rozszerzenie zakresu działania czasopisma ""Matematyka i Informatyka na Uczelniach Technicznych""",20000,2020-05-07,SON I konkurs I,Popularyzacja
67,SONP/SP/466383/2020,Politechnika Świętokrzyska,XI i XII edycja Konkursu Student- Wynalazca,334459.5,2020-05-07,SON I konkurs I,Popularyzacja
68,SONP/SP/467383/2020,Politechnika Świętokrzyska,Festiwal Nauki i Techniki dla najmłodszych - Politechnika Świętokrzyska Dzieciom,114440,2020-05-07,SON I konkurs I,Popularyzacja
